Chat ID,# of unpuncutate questions
550,1
551,0
552,0
553,1
554,1
555,0
556,0
557,0
558,1
559,0
560,0
561,1
562,0
563,0
564,0
565,1
566,0
567,0
568,3
569,0
570,0
571,1
572,0
573,1
574,0
575,2
576,0
577,1
578,1
579,1
580,0
581,0
582,0
583,2
584,0
585,0
586,0
587,0
588,0
589,0
590,0
591,0
592,3
593,0
594,0
595,0
596,0
597,0
598,0
599,0
600,1
601,0
602,0
603,0
604,0
605,0
606,0
607,0
608,0
609,1
610,0
611,0
612,0
613,0
614,0
615,0
616,0
617,0
618,0
619,1
620,0
621,0
622,0
623,2
624,1
625,0
